key	ori
Bip01	[0.0, 0.0, 0.0]
Bip01 Footsteps	[-5.4777798575854526e-015, 0.0, 0.0]
Bip01 Head	[-3.9042490129759244e-007, 1.3808545418214635e-006, 8.5377365621752688e-007]
Bip01 HeadNub	[6.3611094371790206e-015, 3.1805547185895103e-015, 0.0]
Bip01 L Calf	[4.0901250031311065e-007, 3.2317914246959845e-006, 0.0]
Bip01 L Clavicle	[2.8242718030924152e-007, 1.2013365449092817e-006, 0.0]
Bip01 L Finger0	[5.8061948493559612e-007, 16.74146842956543, 0.0]
Bip01 L Finger01	[1.0885555639106315e-006, 4.6683994696650188e-006, 0.0]
Bip01 L Finger0Nub	[0.0, 0.0, 0.0]
Bip01 L Finger1	[1.3648673302668612e-007, 2.0212632989569101e-007, 3.1945285172696458e-006]
Bip01 L Finger11	[1.1183862369534836e-007, 1.0162807484448422e-007, 1.7075473124350538e-006]
Bip01 L Finger1Nub	[4.4139063495728247e-032, -7.9513867964737758e-016, 0.0]
Bip01 L Finger2	[-2.937416887505151e-008, 1.7779742123025244e-008, -8.5377365621752688e-007]
Bip01 L Finger21	[4.6052008428887348e-008, -9.1187546402693442e-010, 1.7075473124350538e-006]
Bip01 L Finger2Nub	[-1.9878466991184439e-016, -1.2424041869490275e-017, 0.0]
Bip01 L Finger3	[-1.3072732940599963e-007, 1.1344565287174646e-008, 1.9090959995082812e-006]
Bip01 L Finger31	[0.0, 0.0, 0.0]
Bip01 L Finger3Nub	[0.0, 0.0, 0.0]
Bip01 L Finger4	[-1.0673093697732838e-007, 2.9119823352630192e-007, -8.5377365621752688e-007]
Bip01 L Finger41	[3.9756933982368879e-016, 0.0, 0.0]
Bip01 L Finger4Nub	[3.9756933982368879e-016, 0.0, 0.0]
Bip01 L Foot	[-3.0047199288674165e-006, -1.2383522971504135e-006, 0.0]
Bip01 L Forearm	[1.8105122308043065e-006, 2.3806203444109997e-006, 0.0]
Bip01 L Hand	[-4.575152345864808e-008, 9.0951628450852695e-009, -1.7075473124350538e-006]
Bip01 L Thigh	[1.9499436803016579e-006, 2.0061979739693925e-006, 0.0]
Bip01 L Toe0	[1.8950931917061098e-006, 1.3532926136042983e-013, 0.0]
Bip01 L Toe0Nub	[7.6333314940214142e-014, -8.999828741409685e-014, 0.0]
Bip01 L UpperArm	[-3.114397486569942e-007, 6.2074761331132322e-008, 8.5377365621752688e-007]
Bip01 Neck	[8.8278126991456493e-032, 3.1805547185895103e-015, 0.0]
Bip01 Pelvis	[1.7075449250114616e-006, 1.7076104086299893e-006, 1.7075473124350538e-006]
Bip01 R Calf	[-1.0390699571871664e-006, 5.7537647535355063e-007, 0.0]
Bip01 R Clavicle	[-1.3117144703755912e-007, 1.1817337508546188e-006, 0.0]
Bip01 R Finger0	[1.265524588234257e-006, 1.7087983223973424e-006, 0.0]
Bip01 R Finger01	[6.5647128622003947e-007, -3.0767862426728243e-006, -1.7075473124350538e-006]
Bip01 R Finger0Nub	[2.5370960088366701e-007, 1.4695239691775441e-008, -8.5377365621752688e-007]
Bip01 R Finger1	[-3.2568067354077357e-007, -1.8191725814631354e-007, -2.414836444586399e-006]
Bip01 R Finger11	[-1.4063817843634752e-007, 1.5580293677430745e-007, -1.7075473124350538e-006]
Bip01 R Finger1Nub	[3.2644152270222548e-007, 2.2836593416286632e-007, 0.0]
Bip01 R Finger2	[-4.9939615109906299e-008, 2.8940444707359347e-008, -2.8316469524725107e-006]
Bip01 R Finger21	[1.7981319544446706e-008, 4.2068677430506796e-008, 0.0]
Bip01 R Finger2Nub	[-8.1927517214808177e-008, 1.8154927561297995e-010, -3.0783246529608732e-006]
Bip01 R Finger3	[6.5993956965826328e-009, -1.2190061404737662e-008, 0.0]
Bip01 R Finger31	[-3.9756933982368879e-016, 5.2803077669242534e-033, 0.0]
Bip01 R Finger3Nub	[7.2717746490980062e-008, -1.61460658176793e-008, -8.5377365621752688e-007]
Bip01 R Finger4	[1.2895208101326716e-007, 1.8054475958706462e-007, 8.5377365621752688e-007]
Bip01 R Finger41	[3.9756933982368879e-016, 2.4138550211473141e-032, 0.0]
Bip01 R Finger4Nub	[-1.6160207394477766e-007, 3.3203150451299734e-008, 2.2588726551475702e-006]
Bip01 R Foot	[1.0081785717375169e-007, 3.5268669762444915e-007, -1.2074182222931995e-006]
Bip01 R Forearm	[1.546719659017981e-006, -2.4670559923833935e-006, 0.0]
Bip01 R Hand	[-1.3406872767518507e-007, -3.7485943238380059e-009, -1.7075473124350538e-006]
Bip01 R Thigh	[-2.0794498141185613e-006, 3.0392811822821386e-006, 0.0]
Bip01 R Toe0	[-3.5626528642751509e-006, -2.1965294980021838e-013, 0.0]
Bip01 R Toe0Nub	[-2.8354768840098974e-015, 0.0, 0.0]
Bip01 R UpperArm	[6.8401567432374577e-007, -2.2674091724184109e-006, 0.0]
Bip01 Spine	[-4.1043008423002902e-006, 2.7191114781999204e-007, 2.0913098524033558e-006]
Bip01 Spine1	[-4.381824680876889e-009, 5.1497084996299236e-007, 0.0]
Bip01 Spine2	[1.2395258153219402e-009, 1.0170057294089929e-006, 0.0]
